time (s)	det(V)
3563.193935	0.411085	
3563.195502	0.478499	
3563.197179	0.457616	
3563.198745	0.537437	
3563.200454	0.576419	
3563.201999	0.635619	
3563.203712	0.679637	
3563.205237	0.695082	
3563.206976	0.714445	
3563.208463	0.771160	
3563.210224	0.813869	
3563.211709	0.805083	
3563.213497	0.883365	
3563.214991	0.918758	
3563.216490	0.975529	
3563.218087	1.025206	
3563.219589	1.054436	
3563.221182	1.090340	
3563.222683	1.212080	
3563.224360	1.175877	
3563.225856	1.301199	
3563.227499	1.321703	
3563.229030	1.378566	
3563.230661	1.419103	
3563.232152	1.519715	
3563.233816	1.624371	
3563.235295	1.572659	
3563.236950	1.665782	
3563.238436	1.667103	
3563.240095	1.667433	
3563.241576	1.667437	
3563.243161	1.667425	
3563.244707	1.667405	
3563.246273	1.667470	
3563.247875	1.667377	
3563.249368	1.667328	
3563.251023	1.667429	
3563.252514	1.667530	
3563.254154	1.667421	
3563.255676	1.667401	
3563.257317	1.667389	
3563.258795	1.667369	
3563.260455	1.667502	
3563.261932	1.667333	
3563.263569	1.667474	
3563.265056	1.667417	
3563.266700	1.667526	
3563.268200	1.667292	
3563.269783	1.667566	
3563.271344	1.667437	
3563.272888	1.667554	
3563.274476	1.667425	
3563.275973	1.667441	
3563.277629	1.667413	
3563.279139	1.667486	
3563.280795	1.667474	
3563.282286	1.667477	
3563.283926	1.667449	
3563.285413	1.667453	
3563.287061	1.667457	
3563.288550	1.667401	
3563.290181	1.667461	
3563.291681	1.667514	
3563.293397	1.667522	
3563.294875	1.667558	
3563.296561	1.667574	
3563.298070	1.667417	
3563.299713	1.667603	
3563.301240	1.667465	
3563.302883	1.667586	
3563.304455	1.667474	
3563.306039	1.667590	
3563.307634	1.667425	
3563.309185	1.667623	
3563.310807	1.667449	
3563.312324	1.667518	
3563.314004	1.667461	
3563.315484	1.667570	
3563.317194	1.667582	
3563.318673	1.667558	
3563.320373	1.667562	
3563.321862	1.667478	
3563.323600	1.667474	
3563.325083	1.667623	
3563.326788	1.667643	
3563.328265	1.667611	
3563.329951	1.667639	
3563.331442	1.667449	
3563.333101	1.667667	
3563.334631	1.667474	
3563.336256	1.667659	
3563.337831	1.667506	
3563.339424	1.667526	
3563.341017	1.667417	
3563.342583	1.667570	
3563.344203	1.667482	
3563.345754	1.667550	
3563.347395	1.667566	
3563.349003	1.667667	
3563.350658	1.667490	
3563.352252	1.667586	
3563.353948	1.667518	
3563.355532	1.667607	
3563.357222	1.667510	
3563.358802	1.667578	
3563.360475	1.667518	
3563.362022	1.667635	
3563.363724	1.667518	
3563.365259	1.667554	
3563.366985	1.667490	
3563.368483	1.667518	
3563.370244	1.667534	
3563.371726	1.667518	
3563.373486	1.667586	
3563.374978	1.667421	
3563.376753	1.667482	
3563.378239	1.667401	
3563.380035	1.667526	
3563.381513	1.667522	
3563.383283	1.667635	
3563.384778	1.667446	
3563.386525	1.667522	
3563.388043	1.667562	
3563.389758	1.667546	
3563.391285	1.667433	
3563.393008	1.667538	
3563.394558	1.667397	
3563.396256	1.667546	
3563.397809	1.667220	
3563.399504	1.667018	
3563.401064	1.459636	
3563.402727	1.246937	
3563.404309	0.895482	
3563.405963	0.709736	
3563.407563	0.358269	
3563.409222	0.168568	
3563.410821	-0.180869	
3563.412456	-0.376979	
3563.414084	-0.705638	
3563.415680	-0.888278	
3563.417353	-1.227878	
3563.418946	-1.426502	
3563.420626	-1.577073	
3563.422199	-1.584642	
3563.423882	-1.584811	
3563.425451	-1.584670	
3563.427140	-1.584775	
3563.428697	-1.584738	
3563.430379	-1.584795	
3563.431914	-1.584795	
3563.433642	-1.584734	
3563.435150	-1.584682	
3563.436909	-1.584783	
3563.438386	-1.584738	
3563.440170	-1.584783	
3563.441667	-1.584835	
3563.443456	-1.584751	
3563.444935	-1.584867	
3563.446704	-1.584835	
3563.448191	-1.584811	
3563.449950	-1.584803	
3563.451441	-1.584875	
3563.453179	-1.584839	
3563.454693	-1.584916	
3563.456429	-1.584920	
3563.457963	-1.584916	
3563.459696	-1.584831	
3563.461228	-1.584940	
3563.462938	-1.584883	
3563.464474	-1.584895	
3563.466158	-1.584928	
3563.467720	-1.584831	
3563.469388	-1.584888	
3563.470977	-1.585065	
3563.472626	-1.584779	
3563.474230	-1.585037	
3563.475875	-1.584936	
3563.477488	-1.584928	
3563.479119	-1.584871	
3563.480750	-1.584944	
3563.482354	-1.584875	
3563.484017	-1.584936	
3563.485607	-1.584996	
3563.487294	-1.584976	
3563.488887	-1.584827	
3563.490574	-1.584936	
3563.492159	-1.584976	
3563.493853	-1.584916	
3563.495401	-1.584823	
3563.497122	-1.584960	
3563.498671	-1.584811	
3563.500395	-1.584980	
3563.501952	-1.584944	
3563.503641	-1.584980	
3563.505144	-1.584879	
3563.506897	-1.584900	
3563.508389	-1.584867	
3563.510171	-1.584912	
3563.511653	-1.584904	
3563.513452	-1.584928	
3563.514942	-1.584879	
3563.516712	-1.584827	
3563.518196	-1.584908	
3563.519966	-1.584759	
3563.521474	-1.584900	
3563.523226	-1.584815	
3563.524731	-1.584771	
3563.526486	-1.584855	
3563.528002	-1.584888	
3563.529722	-1.584754	
3563.531257	-1.584843	
3563.532965	-1.584855	
3563.534521	-1.584815	
3563.536236	-1.584755	
3563.537786	-1.584855	
3563.539471	-1.584843	
3563.541034	-1.584831	
3563.542702	-1.584674	
3563.544292	-1.584859	
3563.545947	-1.584706	
3563.547545	-1.584819	
3563.549153	-1.584791	
3563.550773	-1.584771	
3563.552383	-1.584706	
3563.554030	-1.584880	
3563.555637	-1.584734	
3563.557286	-1.584888	
3563.558870	-1.584658	
3563.560564	-1.584900	
3563.562124	-1.584678	
3563.563840	-1.584759	
3563.565395	-1.584634	
3563.567071	-1.584855	
3563.568625	-1.584614	
3563.570342	-1.584738	
3563.571870	-1.584646	
3563.573613	-1.584658	
3563.575107	-1.584650	
3563.576858	-1.584783	
3563.578339	-1.584690	
3563.580119	-1.584646	
3563.581607	-1.584678	
3563.583377	-1.584614	
3563.584869	-1.584585	
3563.586656	-1.584465	
3563.588144	-1.577584	
3563.589909	-1.496534	
3563.591412	-1.531919	
3563.593141	-1.349670	
3563.594661	-1.320678	
3563.596390	-1.210846	
3563.597924	-1.186317	
3563.599625	-1.072328	
3563.601168	-1.121606	
3563.602850	-0.956631	
3563.604413	-0.971954	
3563.606106	-0.870960	
3563.607686	-0.895473	
3563.609340	-0.774273	
3563.610927	-0.821057	
3563.612567	-0.691962	
3563.614165	-0.757257	
3563.615800	-0.597595	
3563.617420	-0.653975	
3563.619052	-0.508983	
3563.620707	-0.576111	
3563.622309	-0.476455	
3563.623993	-0.483726	
3563.625570	-0.401492	
3563.627260	-0.455048	
3563.628852	-0.381487	
3563.630524	-0.393218	
3563.632095	-0.334336	
3563.633765	-0.320164	
3563.635316	-0.256956	
3563.637012	-0.266978	
3563.638546	-0.253697	
3563.640289	-0.234901	
3563.641783	-0.228415	
3563.643552	-0.256581	
3563.645032	-0.211810	
3563.646828	-0.188470	
3563.648329	-0.148892	
3563.650119	-0.151816	
3563.651599	-0.153948	
3563.653378	-0.083311	
3563.654886	-0.153380	
3563.656389	-0.130229	
3563.657964	-0.149335	
3563.659489	-0.151285	
3563.661083	-0.140723	
3563.662580	-0.083810	
3563.664226	-0.146987	
3563.665735	-0.082231	
3563.667332	-0.097990	
3563.668813	-0.093930	
3563.670385	-0.063278	
3563.671871	-0.072982	
3563.673440	-0.082679	
3563.674940	-0.074916	
3563.676554	-0.060225	
3563.678061	-0.089736	
3563.679635	-0.046520	
3563.681191	-0.051431	
3563.682699	-0.001113	
3563.684345	-0.066497	
3563.685825	-0.049832	
3563.687481	-0.021742	
3563.689008	-0.062940	
3563.690657	-0.016139	
3563.692141	-0.005834	
3563.693797	-0.065514	
3563.695269	-0.074054	
3563.696908	-0.024924	
3563.698392	-0.060756	
3563.700040	0.014311	
3563.701551	-0.062049	
3563.703137	-0.015075	
3563.704695	-0.018705	
3563.706253	0.008930	
3563.707803	-0.094856	
3563.709291	-0.055910	
3563.710966	-0.033904	
3563.712449	-0.044107	
3563.714077	-0.047467	
3563.715608	-0.021005	
3563.717229	-0.012106	
3563.718709	-0.049312	
3563.720349	-0.004332	
3563.721844	-0.010193	
3563.723473	0.037051	
3563.724974	-0.036103	
3563.726590	-0.017315	
3563.728103	-0.053300	
3563.729691	-0.023418	
3563.731217	-0.027450	
3563.732745	0.053910	
3563.734351	-0.039769	
3563.735950	0.041273	
3563.737577	0.009703	
3563.739127	0.006525	
3563.740737	-0.012006	
3563.742234	-0.011450	
3563.743927	-0.027531	
3563.745402	0.006746	
3563.747122	0.005578	
3563.748594	0.040794	
3563.750300	0.023923	
3563.751781	-0.027253	
3563.753495	0.037857	
3563.754977	-0.037074	
3563.756705	0.049374	
3563.758206	0.006774	
3563.759893	0.044194	
3563.761394	-0.014547	
3563.763064	0.078382	
3563.764578	-0.011486	
3563.766228	0.079171	
3563.767793	-0.037295	
3563.769416	0.087377	
3563.771024	-0.052430	
3563.772593	0.050748	
3563.774228	-0.019833	
3563.775780	0.040790	
3563.777413	0.001529	
3563.778911	0.011834	
3563.780609	-0.013049	
3563.782081	0.066297	
3563.783803	0.039984	
3563.785288	0.045164	
3563.786986	0.050957	
3563.788476	0.020157	
3563.790202	0.034900	
3563.791688	0.000120	
3563.793385	0.046421	
3563.794865	-0.019381	
3563.796562	0.057370	
3563.798058	0.008027	
3563.799735	0.054272	
3563.801260	-0.038625	
3563.802961	0.076807	
3563.804503	0.042344	
3563.806233	0.068037	
3563.807786	-0.021984	
3563.809486	0.071022	
3563.811046	-0.015297	
3563.812738	0.070539	
3563.814307	-0.049223	
3563.815997	0.087148	
3563.817594	-0.032848	
3563.819249	0.076464	
3563.820856	-0.015148	
3563.822512	0.071961	
3563.824130	-0.008650	
3563.825767	0.041539	
3563.827388	-0.008755	
3563.829002	0.041990	
3563.830678	-0.025412	
3563.832261	0.047134	
3563.833965	-0.049550	
3563.835567	0.048323	
3563.837244	-0.003417	
3563.838840	0.030401	
3563.840535	-0.014463	
3563.842098	0.007117	
3563.843808	-0.010128	
3563.845353	0.013864	
3563.847089	-0.014020	
3563.848650	-0.010197	
3563.850339	-0.006942	
3563.851896	-0.009222	
3563.853606	0.028270	
3563.855109	0.041547	
3563.856882	-0.008074	
3563.858366	0.019278	
3563.860151	-0.008175	
3563.861637	-0.019671	
3563.863401	0.009884	
3563.864885	-0.037722	
3563.866667	0.014352	
3563.868149	0.004978	
3563.869931	0.023319	
3563.871431	-0.027527	
3563.873188	0.027702	
3563.874696	-0.043660	
3563.876426	0.026497	
3563.877948	-0.077550	
3563.879692	0.017474	
3563.881225	-0.023394	
3563.882928	0.041934	
3563.884470	-0.014366	
3563.886182	0.046755	
3563.887740	0.006529	
3563.889446	0.027911	
3563.891023	-0.050516	
3563.892716	0.033494	
3563.894303	-0.047527	
3563.895973	0.035106	
3563.897554	-0.047527	
3563.899219	0.052097	
3563.900822	-0.018576	
3563.902461	0.045535	
3563.904087	-0.013291	
3563.905713	0.022988	
3563.907377	-0.031394	
3563.908984	0.006923	
3563.910651	-0.023780	
3563.912242	0.027419	
3563.913901	-0.012896	
3563.915483	0.030010	
3563.917175	-0.003687	
3563.918741	0.028511	
3563.920451	0.000736	
3563.922001	0.023516	
3563.923706	-0.022870	
3563.925250	0.038002	
