time (s)	magX	magY	magZ
4361.593937	-53.542374	-312.391571	-1018.603760
4361.597272	-52.782585	-295.325531	-1032.455322
4361.601944	-51.613678	-255.933365	-1058.229736
4361.605294	-51.204559	-234.367035	-1068.574585
4361.608227	-49.918762	-212.274689	-1077.107544
4361.611555	-48.983635	-188.721222	-1083.887207
4361.615213	-47.580948	-163.122162	-1090.550049
4361.618153	-46.470490	-137.581528	-1092.887817
4361.621453	-44.775566	-110.521332	-1094.991821
4361.624806	-43.197548	-82.642899	-1093.822876
4361.628130	-41.561081	-54.413795	-1090.550049
4361.631609	-39.457047	-25.950907	-1086.108154
4361.634909	-37.586792	2.453536	-1078.510254
4361.638131	-35.307426	31.793104	-1070.854004
4361.641463	-33.144943	59.788429	-1059.398560
4361.644782	-30.631798	87.842201	-1046.248413
4361.648134	-28.410873	114.610168	-1031.870850
4361.651470	-26.189945	141.144363	-1017.376343
4361.654898	-23.559910	166.042068	-1000.427307
4361.658190	-21.046757	189.420212	-983.419678
4361.661523	-18.475163	212.564590	-964.834045
4361.664786	-16.254238	233.780243	-946.774414
4361.668108	-13.390415	254.002335	-928.013489
4361.671445	-11.461720	272.646423	-908.726440
4361.674359	-9.649914	290.238464	-889.497986
4361.677687	-8.130337	306.427826	-870.210999
4361.681039	-5.792522	321.331390	-850.456482
4361.684379	-4.740501	334.949158	-831.286377
4361.687716	-2.987144	347.748718	-811.648743
4361.691058	-1.584454	359.554657	-791.601990
4361.694358	0.168907	369.957916	-772.431946
4361.697683	0.928696	380.478088	-753.729431
4361.701020	1.980709	389.420258	-734.617798
4361.704362	2.448273	397.018127	-714.921692
4361.707692	3.500292	403.973114	-695.225647
4361.711014	4.084745	410.051453	-676.640015
4361.714346	4.318527	415.662201	-657.177673
4361.717710	5.195208	419.636475	-637.715393
4361.721052	5.662769	424.195221	-617.493286
4361.724373	6.305668	427.292847	-599.199890
4361.727684	6.071888	429.747498	-580.088257
4361.730591	6.773232	432.085358	-560.976624
4361.733922	7.123903	433.312683	-542.157227
4361.737252	7.416130	434.306274	-522.694885
4361.740625	7.299240	434.540070	-504.576843
4361.743923	7.649912	434.598511	-485.289886
4361.747259	8.175919	433.780273	-467.347168
4361.750590	8.351255	432.845123	-448.936859
4361.753924	8.760372	430.390442	-430.000549
4361.757248	9.227936	427.935730	-412.642303
4361.760585	9.169491	424.429016	-395.342499
4361.763914	9.695498	421.740509	-377.867310
4361.767251	9.929279	417.357147	-361.677948
4361.770590	10.396843	413.090607	-345.313263
4361.773918	10.163061	408.122742	-329.649902
4361.777248	10.747515	402.570435	-314.161896
4361.780587	10.104614	396.667450	-299.901215
4361.783939	10.747515	391.641174	-286.867889
4361.787245	10.747515	385.855072	-274.360596
4361.790586	11.507305	380.302765	-262.729980
4361.793915	11.098186	373.406219	-251.274689
4361.797243	11.448860	367.327881	-239.936310
4361.800582	11.799532	361.834015	-229.825272
4361.803912	11.857977	355.697266	-220.649338
4361.807244	11.974867	349.794281	-211.473419
4361.810585	12.091759	344.008209	-202.765060
4361.813915	11.916422	337.988342	-194.641159
4361.817245	12.208649	332.494446	-187.569260
4361.820581	11.857977	327.701935	-180.964935
4361.823912	11.974867	322.266541	-173.834610
