crossing time (s)	slope (V/s)	crossing number
6487.387301	-110.054896	4366
6488.393587	-110.412240	4367
6489.401516	-104.585700	4368
6490.485950	-107.264003	4369
6491.424853	-104.523344	4370
6492.471531	-105.243498	4371
6493.494741	-101.397316	4372
6494.518103	-98.744245	4373
6495.499621	-101.652731	4374
6496.530854	-97.221415	4375
6497.519216	-98.370109	4376
6498.565636	-94.758482	4377
6499.550143	-94.788370	4378
6500.602137	-95.202757	4379
6501.631297	-92.151683	4380
6502.619047	-90.903751	4381
6503.656421	-90.042331	4382
6504.647785	-88.878905	4383
6505.673174	-88.783949	4384
6506.673942	-84.509075	4385
6507.660298	-85.877696	4386
6508.680783	-83.640537	4387
6509.677707	-82.038825	4388
6510.747730	-81.487584	4389
6511.778719	-80.446909	4390
6512.756584	-80.385171	4391
6513.733877	-79.393254	4392
6514.774794	-77.259515	4393
6515.803791	-78.651598	4394
6516.800467	-75.182741	4395
6517.868745	-75.500841	4396
6518.833873	-75.494641	4397
6519.876663	-74.212758	4398
6520.859058	-74.651472	4399
6521.885254	-72.402964	4400
6522.882370	-72.317235	4401
6523.938853	-70.806268	4402
6524.875583	-68.625928	4403
6525.969878	-71.640175	4404
6526.957125	-65.799084	4405
6527.979946	-67.458295	4406
6528.994128	-67.626093	4407
6530.036799	-65.978858	4408
6531.020924	-67.055804	4409
6532.084690	-67.838740	4410
6533.049226	-63.605373	4411
6534.057937	-62.104861	4412
6535.077720	-62.250430	4413
6536.096659	-61.647111	4414
6537.104620	-59.914494	4415
6538.107109	-59.147266	4416
6539.111745	-58.294140	4417
6540.130656	-57.636546	4418
6541.173943	-57.201515	4419
6542.134236	-56.385888	4420
6543.177192	-54.221284	4421
6544.201488	-55.144943	4422
6545.211642	-55.857261	4423
6546.260007	-54.470855	4424
6547.250224	-54.275677	4425
6548.251617	-53.125794	4426
6549.242289	-51.794930	4427
6550.319919	-52.060670	4428
6551.318534	-50.813381	4429
6552.347546	-48.536604	4430
6553.301511	-49.970185	4431
6554.364531	-46.056717	4432
6555.367377	-46.942389	4433
6556.391194	-47.266085	4434
6557.372286	-48.067754	4435
6558.449339	-46.477728	4436
6559.407296	-44.846601	4437
6560.428693	-44.447812	4438
6561.460224	-43.523893	4439
6562.462666	-43.354614	4440
6563.470214	-41.545177	4441
6564.489175	-42.443907	4442
6565.503507	-43.746253	4443
6566.533620	-39.849545	4444
6567.539171	-40.377827	4445
6568.554736	-41.527419	4446
6569.562821	-39.068985	4447
6570.591058	-40.849210	4448
6571.585273	-38.039291	4449
6572.609397	-37.125572	4450
6573.603374	-38.114605	4451
6574.653402	-36.916944	4452
6575.638817	-38.129977	4453
6576.643363	-37.736559	4454
6577.659438	-37.197417	4455
6578.678205	-36.862812	4456
6579.717608	-34.767619	4457
6580.715337	-35.917670	4458
6581.718162	-34.611211	4459
6582.737532	-34.884839	4460
6583.742890	-32.134074	4461
6584.802094	-32.903989	4462
6585.767316	-32.810683	4463
6586.823028	-32.335024	4464
6587.801649	-32.223793	4465
6588.869369	-30.530728	4466
6589.837464	-29.737631	4467
6590.893671	-31.247180	4468
6591.873798	-29.734858	4469
6592.928237	-28.592608	4470
6593.883191	-30.636447	4471
6594.942061	-29.169112	4472
6595.921571	-28.639253	4473
6597.001579	-27.684247	4474
6597.944511	-27.526436	4475
6599.014046	-27.849098	4476
6599.965908	-25.585374	4477
6601.030414	-27.246974	4478
6601.980314	-23.500340	4479
6603.072057	-26.532462	4480
6604.048084	-25.678624	4481
6605.069870	-24.270121	4482
6606.080010	-24.867133	4483
6607.088968	-25.597300	4484
6608.122502	-23.567580	4485
6609.126624	-23.273801	4486
6610.146394	-25.325259	4487
6611.156236	-23.022887	4488
6612.166940	-23.581844	4489
6613.222926	-22.574425	4490
6614.198543	-23.303388	4491
6615.197257	-23.396514	4492
6616.197944	-21.265323	4493
6617.259547	-21.410517	4494
6618.220998	-25.339342	4495
6619.285183	-19.735864	4496
6620.261320	-20.125869	4497
6621.314471	-21.660535	4498
6622.267961	-19.393508	4499
6623.349327	-20.560583	4500
6624.336644	-19.438070	4501
6625.356547	-19.589224	4502
6626.371394	-19.667822	4503
6627.405845	-18.992841	4504
6628.396796	-18.832251	4505
6629.412297	-16.831803	4506
6630.422812	-17.462106	4507
6631.447099	-16.926732	4508
6632.459500	-18.257001	4509
6633.464528	-18.084292	4510
6634.473466	-16.916125	4511
6635.506757	-16.243091	4512
6636.523414	-16.919138	4513
6637.556638	-16.753866	4514
6638.521243	-16.064300	4515
6639.581447	-13.882486	4516
6640.566679	-17.754868	4517
6641.622308	-16.266303	4518
6642.572191	-14.307428	4519
6643.636891	-15.338782	4520
6644.608187	-15.454324	4521
6645.669084	-13.517840	4522
6646.644617	-15.122194	4523
6647.693565	-14.631316	4524
6648.657875	-12.461238	4525
6649.697767	-13.505696	4526
6650.699716	-12.704109	4527
6651.757088	-13.692158	4528
6652.727707	-13.804044	4529
6653.761321	-12.218358	4530
6654.771776	-11.947008	4531
6655.801200	-13.931596	4532
6656.794621	-12.556687	4533
6657.813830	-12.748767	4534
6658.836695	-11.073637	4535
6659.849433	-12.878500	4536
6660.866088	-11.187777	4537
6661.870035	-12.406909	4538
6662.891483	-10.937590	4539
6663.899878	-9.755506	4540
6664.904815	-10.785389	4541
6665.925156	-10.537936	4542
6666.921992	-11.130532	4543
6667.978894	-9.142015	4544
6668.960687	-11.300094	4545
6670.000571	-9.292544	4546
6670.999079	-8.364590	4547
6672.017720	-9.025194	4548
6673.025411	-9.723916	4549
6674.044050	-9.235352	4550
