time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7573.777950	85.796860	0.643905	0.004340	45
7575.807138	85.749580	0.637588	0.004647	47
7577.835802	85.802094	0.631136	0.004325	49
7579.864377	85.759247	0.622797	0.003960	51
7581.890874	85.536034	0.616908	0.003632	53
7583.916154	85.670143	0.609875	0.003876	55
7585.942192	85.740822	0.604260	0.003223	57
7587.971786	85.724838	0.598385	0.003357	59
7590.001462	85.720535	0.592751	0.002963	61
7592.028275	85.527740	0.585695	0.003070	63
7594.052951	85.527855	0.580063	0.002979	65
7596.079912	85.640869	0.573721	0.002746	67
7598.106489	85.668709	0.567308	0.002721	69
7600.132820	85.555283	0.560530	0.002286	71
7602.163366	85.517426	0.554413	0.001990	73
7604.192000	85.479630	0.549989	0.002137	75
7606.219253	85.506783	0.543984	0.001858	77
7608.245358	85.527557	0.537361	0.001603	79
7610.274490	85.445694	0.530955	0.001531	81
7612.298354	85.401070	0.523980	0.001417	83
7614.327990	85.171982	0.518659	0.001984	85
7616.353682	85.321457	0.511975	0.001128	87
7618.379089	85.373375	0.506151	0.000977	89
7620.408583	85.286896	0.501541	0.000891	91
7622.438107	85.209755	0.496169	0.000768	93
7624.466622	85.209106	0.490329	0.000986	95
7626.492515	85.220047	0.486356	0.000525	97
7628.519771	85.113914	0.480690	0.000205	99
7630.544786	85.006508	0.475216	0.000131	101
7632.569100	85.019341	0.469221	0.000165	103
7634.597711	85.107780	0.464068	0.000093	105
7636.628470	84.980522	0.459702	-0.000171	107
7638.655994	84.899872	0.454935	-0.000246	109
7640.683750	84.854210	0.449600	-0.000542	111
7642.708980	84.853661	0.444995	-0.000401	113
7644.737677	84.875053	0.440191	-0.000341	115
7646.766400	84.889511	0.434695	-0.000669	117
7648.796190	84.841980	0.428711	-0.000498	119
7650.821437	84.784027	0.424500	-0.000884	121
7652.848220	84.718834	0.419682	-0.000977	123
7654.873095	84.645882	0.415457	-0.001081	125
7656.897672	84.681015	0.410546	-0.000990	127
7658.924152	84.717628	0.406412	-0.001275	129
7660.949815	84.768990	0.401876	-0.001527	131
7662.977292	84.764679	0.396850	-0.001856	133
7665.005181	84.714874	0.392870	-0.002010	135
7667.034786	84.658058	0.388437	-0.002015	137
7669.065591	84.647881	0.385951	-0.002206	139
7671.092932	84.596237	0.380303	-0.002319	141
7673.117823	84.437904	0.377051	-0.002401	143
7675.143712	84.375748	0.371802	-0.002257	145
7677.168000	84.441681	0.368193	-0.002234	147
7679.195406	84.465576	0.364712	-0.002581	149
7681.221187	84.522614	0.359624	-0.002775	151
7683.246351	84.460869	0.356001	-0.002785	153
7685.277936	84.489395	0.351133	-0.002760	155
7687.301477	84.469391	0.346566	-0.002680	157
7689.332431	84.403328	0.343541	-0.002867	159
7691.357923	84.327515	0.339057	-0.002775	161
7693.385297	84.270432	0.335313	-0.003104	163
7695.411829	84.258904	0.332183	-0.002917	165
7697.441359	84.206841	0.328417	-0.002891	167
7699.470438	84.127228	0.325468	-0.003173	169
7701.497547	84.210159	0.321788	-0.003219	171
7703.528859	84.174187	0.318189	-0.003406	173
7705.555007	84.140755	0.315024	-0.003507	175
7707.584665	84.021408	0.311737	-0.003612	177
7709.602308	83.876770	0.306987	-0.003732	179
7711.629448	83.909088	0.302934	-0.003847	181
7713.652522	83.902672	0.298972	-0.003883	183
7715.680508	83.961983	0.296114	-0.003759	185
7717.714417	83.858292	0.292464	-0.004025	187
7719.735490	83.696442	0.289106	-0.004368	189
7721.762769	83.727745	0.285865	-0.004686	191
7723.787406	83.674805	0.283694	-0.004508	193
7725.822467	83.688042	0.279174	-0.005032	195
7727.843414	83.624527	0.276689	-0.004815	197
7729.870382	83.703087	0.272650	-0.004996	199
7731.900896	83.707527	0.269777	-0.004870	201
7733.924727	83.719170	0.266516	-0.005195	203
7735.957703	83.753113	0.261700	-0.005367	205
7737.969618	83.570938	0.259055	-0.005409	207
7740.013206	83.487091	0.256959	-0.005402	209
7742.041032	83.562302	0.254291	-0.005471	211
7744.070226	83.538231	0.251667	-0.005708	213
7746.100948	83.322212	0.247780	-0.005788	215
7748.121593	83.429611	0.244517	-0.005770	217
7750.148289	83.186310	0.243240	-0.005849	219
7752.173433	83.267227	0.239998	-0.006044	221
7754.192541	83.279877	0.237126	-0.006462	223
7756.220223	83.254852	0.234979	-0.006307	225
7758.253867	83.206200	0.232324	-0.006467	227
7760.273703	83.053070	0.229832	-0.006530	229
