time (s)	det(V)
5673.423008	-0.003417	
5673.424756	-0.026161	
5673.426234	-0.035269	
5673.428011	0.022114	
5673.429495	-0.037078	
5673.431262	0.001453	
5673.432752	-0.037940	
5673.434536	0.020015	
5673.436016	-0.045115	
5673.437759	-0.004102	
5673.439253	-0.059459	
5673.440967	0.042981	
5673.442483	-0.084177	
5673.444192	0.019951	
5673.445732	-0.068845	
5673.447457	0.035037	
5673.449003	-0.017762	
5673.450699	0.064238	
5673.452255	-0.032768	
5673.453923	0.061237	
5673.455494	-0.033561	
5673.457160	0.041003	
5673.458748	-0.011978	
5673.460381	0.065668	
5673.461999	-0.067589	
5673.463625	0.047186	
5673.465246	-0.035821	
5673.466861	0.034940	
5673.468510	-0.037727	
5673.470088	-0.004223	
5673.471757	-0.015253	
5673.473311	-0.005335	
5673.475002	-0.045517	
5673.476537	-0.001504	
5673.478241	0.001843	
5673.479798	0.025756	
5673.481524	-0.002584	
5673.483059	0.096948	
5673.484783	0.082124	
5673.486268	0.012406	
5673.488041	-0.006842	
5673.489518	-0.015273	
5673.491269	0.047770	
5673.492751	0.058913	
5673.494518	0.069604	
5673.495993	0.022215	
5673.497737	0.077552	
5673.499239	0.003564	
5673.500993	0.067610	
5673.502508	-0.000424	
5673.504217	0.086491	
5673.505749	-0.005814	
5673.507461	0.099031	
5673.509007	0.008881	
5673.510686	0.117779	
5673.512237	0.024064	
5673.513906	0.136244	
5673.515477	0.088279	
5673.517138	0.133348	
5673.518722	-0.012570	
5673.520352	0.136587	
5673.521948	0.058333	
5673.523565	0.156245	
5673.525225	0.060387	
5673.526804	0.105142	
5673.528483	0.106346	
5673.530072	0.151733	
5673.531726	0.114862	
5673.533306	0.133316	
5673.534993	0.115619	
5673.536556	0.158259	
5673.538264	0.111305	
5673.539793	0.139507	
5673.541493	0.162900	
5673.543002	0.108961	
5673.544748	0.201870	
5673.546234	0.191380	
5673.548002	0.203815	
5673.549487	0.172733	
5673.551274	0.216928	
5673.552752	0.198740	
5673.554541	0.252494	
5673.556020	0.245722	
5673.557770	0.292213	
5673.559266	0.314780	
5673.560995	0.303359	
5673.562509	0.233283	
5673.564241	0.341491	
5673.565764	0.323489	
5673.567485	0.378383	
5673.569027	0.278766	
5673.570708	0.394125	
5673.572263	0.245911	
5673.573958	0.413646	
5673.575516	0.317076	
5673.577189	0.439106	
5673.578778	0.381456	
5673.580430	0.498946	
5673.582012	0.377303	
5673.583635	0.479361	
5673.585234	0.433398	
5673.586853	0.482543	
5673.588507	0.404325	
5673.590087	0.533348	
5673.591773	0.500433	
5673.593333	0.536245	
5673.595033	0.528272	
5673.596600	0.597451	
5673.598271	0.603783	
5673.599811	0.660720	
5673.601501	0.649239	
5673.603032	0.626080	
5673.604769	0.689268	
5673.606252	0.670702	
5673.608009	0.737121	
5673.609495	0.748271	
5673.611278	0.811874	
5673.612755	0.825212	
5673.614533	0.859457	
5673.616015	0.826090	
5673.617815	0.914947	
5673.619292	0.888872	
5673.621036	0.954118	
5673.622547	0.944664	
5673.624286	1.037057	
5673.625816	0.925255	
5673.627311	1.010889	
5673.628898	0.989978	
5673.630385	1.072450	
5673.631942	1.087496	
5673.633460	1.087327	
5673.635087	1.222594	
5673.636554	1.184027	
5673.638126	1.221941	
5673.639610	1.258176	
5673.641162	1.322613	
5673.642643	1.295889	
5673.644226	1.395860	
5673.645762	1.393193	
5673.647300	1.501708	
5673.648906	1.522265	
5673.650403	1.572099	
5673.652051	1.587930	
5673.653562	1.620769	
5673.655199	1.640061	
5673.656676	1.641954	
5673.658318	1.642179	
5673.659795	1.642212	
5673.661433	1.642401	
5673.662917	1.642316	
5673.664549	1.642393	
5673.666034	1.642119	
5673.667627	1.642381	
5673.669167	1.642216	
5673.670711	1.642329	
5673.672298	1.642373	
5673.673781	1.642313	
5673.675434	1.642256	
5673.676924	1.642357	
5673.678571	1.642389	
5673.680064	1.642421	
5673.681694	1.642308	
5673.683165	1.642413	
5673.684791	1.642365	
5673.686273	1.642377	
5673.687911	1.642457	
5673.689407	1.642260	
5673.691004	1.642482	
5673.692535	1.642288	
5673.694094	1.642413	
5673.695646	1.642329	
5673.697136	1.642401	
5673.698795	1.642357	
5673.700282	1.642397	
5673.701912	1.642288	
5673.703394	1.642470	
5673.705067	1.642345	
5673.706545	1.642429	
5673.708254	1.642441	
5673.709731	1.642401	
5673.711458	1.642526	
5673.712938	1.642441	
5673.714635	1.642429	
5673.716118	1.642457	
5673.717821	1.642574	
5673.719302	1.642381	
5673.720977	1.642514	
5673.722489	1.642393	
5673.724151	1.642631	
5673.725700	1.642397	
5673.727310	1.642490	
5673.728883	1.642421	
5673.730475	1.642562	
5673.732085	1.642325	
5673.733641	1.642461	
5673.735249	1.642300	
5673.736753	1.642502	
5673.738443	1.642433	
5673.739928	1.642498	
5673.741627	1.642445	
5673.743107	1.642373	
5673.744829	1.642478	
5673.746305	1.642445	
5673.748008	1.642522	
5673.749488	1.642522	
5673.751197	1.642470	
5673.752680	1.642361	
5673.754354	1.642421	
5673.755860	1.642369	
5673.757502	1.642506	
5673.759052	1.642397	
5673.760666	1.642514	
5673.762244	1.642369	
5673.763825	1.642546	
5673.765418	1.642341	
5673.766983	1.642514	
5673.768601	1.642373	
5673.770217	1.642369	
5673.771853	1.642381	
5673.773439	1.642530	
5673.775104	1.642405	
5673.776673	1.642446	
5673.778356	1.642377	
5673.779930	1.642494	
5673.781613	1.642437	
5673.783169	1.642550	
5673.784861	1.642425	
5673.786417	1.642486	
5673.788132	1.642494	
5673.789637	1.642546	
5673.791383	1.642534	
5673.792860	1.642466	
5673.794613	1.642385	
5673.796092	1.642413	
5673.797859	1.642393	
5673.799343	1.642413	
5673.801098	1.642510	
5673.802592	1.642510	
5673.804343	1.642486	
5673.805851	1.642433	
5673.807581	1.642478	
5673.809096	1.642373	
5673.810816	1.642401	
5673.812341	1.642433	
5673.814040	1.642554	
5673.815609	1.642296	
5673.817278	1.642655	
5673.818850	1.642345	
5673.820511	1.642437	
5673.822077	1.642357	
5673.823718	1.642627	
5673.825332	1.642329	
5673.826959	1.642498	
5673.828586	1.642401	
5673.830194	1.642470	
5673.831862	1.642280	
5673.833451	1.642518	
5673.835100	1.642329	
5673.836705	1.642486	
5673.838384	1.642321	
5673.839943	1.642437	
5673.841642	1.642300	
5673.843194	1.642429	
5673.844909	1.642357	
5673.846448	1.642405	
5673.848135	1.642337	
5673.849641	1.642381	
5673.851385	1.641406	
5673.852878	1.633156	
5673.854647	1.515557	
5673.856124	1.391110	
5673.857897	1.262591	
5673.859378	1.115013	
5673.861158	1.035571	
5673.862637	0.881230	
5673.864372	0.792780	
5673.865872	0.647011	
5673.867625	0.523225	
5673.869135	0.327340	
5673.870853	0.272156	
5673.872386	0.008039	
5673.874081	-0.021662	
5673.875623	-0.275269	
5673.877313	-0.296369	
5673.878877	-0.467391	
5673.880564	-0.534684	
5673.882147	-0.787788	
5673.883811	-0.773874	
5673.885402	-0.996278	
5673.887052	-1.048191	
5673.888642	-1.257756	
5673.890272	-1.275859	
5673.891889	-1.478459	
5673.893496	-1.518167	
5673.895173	-1.601714	
5673.896753	-1.609622	
5673.898423	-1.609593	
5673.900013	-1.609730	
5673.901651	-1.609686	
5673.903207	-1.609787	
5673.904917	-1.609843	
5673.906445	-1.609746	
5673.908155	-1.609803	
5673.909687	-1.609742	
5673.911430	-1.609783	
5673.912945	-1.609694	
5673.914695	-1.609779	
5673.916183	-1.609795	
5673.917949	-1.609827	
5673.919435	-1.609743	
5673.921216	-1.609650	
5673.922698	-1.609803	
5673.924482	-1.609799	
5673.925960	-1.609734	
5673.927724	-1.609759	
5673.929220	-1.609823	
5673.930958	-1.609722	
5673.932479	-1.609714	
5673.934218	-1.609787	
5673.935736	-1.609718	
5673.937438	-1.609758	
5673.938988	-1.609783	
5673.940680	-1.609726	
5673.942238	-1.609843	
5673.943901	-1.609771	
5673.945470	-1.609900	
5673.947128	-1.609758	
5673.948726	-1.609831	
5673.950366	-1.609746	
5673.951961	-1.609863	
5673.953590	-1.609706	
5673.955206	-1.609928	
5673.956827	-1.609787	
5673.958501	-1.609779	
5673.960090	-1.609831	
5673.961759	-1.609807	
5673.963342	-1.609706	
5673.965006	-1.609827	
5673.966573	-1.609694	
5673.968257	-1.609831	
5673.969804	-1.609787	
5673.971517	-1.609855	
5673.973062	-1.609843	
5673.974782	-1.609819	
5673.976288	-1.609767	
5673.978023	-1.609904	
5673.979500	-1.609754	
5673.981250	-1.609823	
5673.982741	-1.609791	
5673.984531	-1.609751	
5673.986006	-1.609799	
5673.987768	-1.609835	
5673.989257	-1.609827	
5673.990990	-1.609839	
5673.992498	-1.609879	
5673.994233	-1.609803	
5673.995750	-1.609803	
5673.997472	-1.609743	
5673.999009	-1.609879	
5674.000714	-1.609738	
5674.002269	-1.609771	
5674.003964	-1.609895	
5674.005525	-1.609811	
5674.007192	-1.609807	
5674.008753	-1.609807	
5674.010404	-1.609734	
5674.012012	-1.609807	
5674.013642	-1.609779	
5674.015243	-1.609851	
5674.016877	-1.609743	
5674.018507	-1.609815	
5674.020114	-1.609795	
5674.021767	-1.609787	
5674.023330	-1.609771	
5674.025008	-1.609875	
5674.026569	-1.609698	
5674.028277	-1.609851	
5674.029830	-1.609702	
5674.031511	-1.609819	
5674.033065	-1.609678	
5674.034776	-1.609787	
5674.036307	-1.609734	
5674.038061	-1.609746	
5674.039544	-1.609754	
5674.041305	-1.609775	
5674.042787	-1.609758	
5674.044557	-1.609783	
5674.046043	-1.609734	
5674.047809	-1.609706	
5674.049297	-1.609799	
5674.051067	-1.609754	
5674.052555	-1.609823	
5674.054295	-1.609734	
5674.055802	-1.609779	
5674.057528	-1.609738	
5674.059048	-1.609722	
5674.060760	-1.609686	
5674.062301	-1.609722	
5674.063987	-1.609714	
5674.065550	-1.609855	
5674.067222	-1.609779	
5674.068787	-1.609787	
5674.070435	-1.609698	
5674.072004	-1.609746	
