crossing time (s)	slope (V/s)	crossing number
6990.525356	-65.404045	5796
6991.557314	-64.511873	5797
6992.528042	-65.741928	5798
6993.580788	-65.840698	5799
6994.565291	-64.009314	5800
6995.609680	-62.217458	5801
6996.622939	-60.719885	5802
6997.576620	-58.349983	5803
6998.684023	-55.978333	5804
6999.654268	-58.552437	5805
7000.701105	-57.377959	5806
7001.724328	-57.370351	5807
7002.738038	-58.589466	5808
7003.748642	-54.853438	5809
7004.776368	-53.255861	5810
7005.742396	-53.450637	5811
7006.769189	-51.657798	5812
7007.803103	-50.171977	5813
7008.818635	-48.773975	5814
7009.815688	-47.172682	5815
7010.835928	-47.964285	5816
7011.887538	-47.591087	5817
7012.871247	-46.273897	5818
7013.879444	-44.436843	5819
7014.908280	-44.846951	5820
7015.923850	-44.233378	5821
7016.933732	-41.990807	5822
7017.995079	-42.700924	5823
7018.963362	-41.441164	5824
7019.989355	-42.036460	5825
7021.025903	-40.005913	5826
7022.005246	-39.731783	5827
7023.043446	-39.037773	5828
7024.049805	-36.582684	5829
7025.088334	-36.468940	5830
7026.062738	-38.060750	5831
7027.146779	-37.786290	5832
7028.161431	-34.816332	5833
7029.135925	-34.344667	5834
7030.143702	-33.905284	5835
7031.184257	-34.251840	5836
7032.153806	-33.449796	5837
7033.207737	-32.527528	5838
7034.207955	-30.826816	5839
7035.252278	-29.739978	5840
7036.257029	-29.905449	5841
7037.293631	-30.873204	5842
7038.316388	-27.585466	5843
7039.309221	-28.739863	5844
7040.334930	-28.713878	5845
7041.369036	-28.846165	5846
7042.347168	-26.471777	5847
7043.402637	-26.106492	5848
7044.363293	-25.861619	5849
7045.411156	-26.944056	5850
7046.428947	-25.213988	5851
7047.476931	-24.457988	5852
7048.443490	-24.190978	5853
7049.476085	-24.352465	5854
7050.488825	-24.558995	5855
7051.513963	-23.058483	5856
7052.519094	-20.480801	5857
7053.581458	-22.340417	5858
7054.543093	-21.352038	5859
7055.600728	-21.370670	5860
7056.572468	-21.163586	5861
7057.587539	-20.905531	5862
7058.625792	-20.412256	5863
7059.614607	-19.104502	5864
7060.633900	-18.763491	5865
7061.684600	-19.050180	5866
7062.661452	-17.734145	5867
7063.704184	-18.038872	5868
7064.735331	-15.950152	5869
7065.734764	-19.022488	5870
7066.748127	-18.313694	5871
7067.768651	-16.833500	5872
7068.759113	-16.948403	5873
7069.803932	-16.701692	5874
7070.836593	-15.846112	5875
7071.838689	-16.266809	5876
7072.829459	-15.521928	5877
7073.862941	-13.382132	5878
7074.898776	-14.325881	5879
7075.900618	-14.148599	5880
7076.907029	-14.633816	5881
